Batch_ID,Product,Manufacturing_Line,Batch_Date,Year,Operator_Team,Temperature_C,Humidity_Percent,Mixing_Speed_RPM,Mixing_Time_Minutes,Production_Time_Hours,API_Assay_Percent,pH,Viscosity_cP,Dissolution_30min_Percent,Yield_Percent,Batch_Status,Failure_Flag,Deviation_Flag,Deviation_Rate_Flag,Deviation_Type,Deviation_Severity
B001213,COX-2 Inhibitor,Line 2,10-Jul-2025,2025,Team C,21.40,47.38,334.00,45.70,6.97,99.12,6.69,129.40,89.02,92.05,Pass,0,No,0,None,None
B000118,COX-2 Inhibitor,Line 3,16-Sep-2025,2025,Team D,21.00,34.02,315.00,26.10,6.15,,6.60,91.50,86.41,92.09,Pass,0,No,0,None,None
B001133,Antidepressant,Line 2,27-Jan-2024,2024,Team C,21.29,36.94,299.00,44.80,7.08,99.32,6.60,134.70,87.72,96.58,Pass,0,No,0,None,None
B002564,GLP-1 Agonist,Line 1,24-Apr-2024,2024,Team A,22.31,37.50,316.00,46.10,8.95,99.25,7.06,139.70,87.79,96.58,Pass,0,No,0,None,None
B002607,COX-2 Inhibitor,Line 1,11-Dec-2025,2025,Team D,22.85,38.36,353.00,29.90,6.59,99.16,6.64,112.20,88.87,92.09,Pass,0,No,0,None,None
B000375,Antidepressant,Line 2,02-Sep-2024,2024,Team A,23.25,36.48,311.00,43.30,7.78,99.33,6.81,113.30,87.76,96.56,Pass,0,No,0,None,None
B001865,COX-2 Inhibitor,Line 2,26-Nov-2024,2024,Team D,23.12,38.08,359.00,52.50,7.03,98.90,6.60,156.20,85.29,92.11,Pass,0,Yes,1,Process,Minor
B000256,COX-2 Inhibitor,Line 3,21-Oct-2025,2025,Team A,22.36,42.72,360.00,46.60,7.72,99.26,6.87,109.70,91.40,92.18,Pass,0,No,0,None,None
B001910,AED,Line 1,24-May-2024,2024,Team C,23.18,39.19,314.00,45.70,6.32,98.86,6.82,134.90,85.39,96.55,Pass,0,No,0,None,None
B001064,COX-2 Inhibitor,Line 2,23-Sep-2024,2024,Team D,22.92,45.54,343.00,46.70,6.85,99.58,6.68,129.00,88.39,92.21,Pass,0,No,0,None,None
B000468,AED,Line 1,25-Jun-2024,2024,Team A,22.41,45.74,337.00,44.00,6.95,98.78,6.99,122.00,89.13,96.54,Pass,0,No,0,None,None
B002659,Antidepressant,Line 1,13-Jun-2025,2025,Team C,20.50,49.06,320.00,46.80,6.98,99.34,7.00,140.40,83.45,96.54,Pass,0,No,0,None,None
B000180,COX-2 Inhibitor,Line 2,17-Nov-2024,2024,Team C,21.65,43.80,333.00,36.00,6.59,98.86,6.54,116.10,86.43,92.22,Pass,0,No,0,None,None
B001463,Antidepressant,Line 1,30-Jan-2025,2025,Team C,23.39,38.60,326.00,42.80,7.17,99.00,6.71,113.00,85.13,96.53,Pass,0,No,0,None,None
B000408,AED,Line 1,14-Apr-2025,2025,Team A,23.03,41.84,322.00,40.70,7.40,99.09,6.88,136.00,89.94,96.51,Pass,0,No,0,None,None
B001014,AED,Line 1,02-Feb-2025,2025,Team D,20.39,44.05,343.00,42.80,7.69,99.15,7.25,132.40,86.46,96.51,Pass,0,No,0,None,None
B000483,COX-2 Inhibitor,Line 3,26-Jul-2025,2025,Team A,21.87,33.82,374.00,31.10,6.93,98.99,6.47,105.40,90.81,92.23,Pass,0,No,0,None,None
B000435,Antidepressant,Line 1,12-Jun-2024,2024,Team B,21.82,41.38,305.00,43.30,6.66,98.72,6.68,128.80,88.54,96.48,Pass,0,No,0,None,None
B000636,Antidepressant,Line 1,26-Apr-2025,2025,Team C,23.51,42.85,306.00,45.40,6.96,98.98,6.86,143.90,87.15,96.48,Pass,0,No,0,None,None
B000523,Antidepressant,Line 1,21-Jun-2025,2025,Team B,21.23,48.10,307.00,52.20,7.76,99.02,6.86,122.40,88.40,96.47,Pass,0,No,0,None,None
B000552,Antidepressant,Line 2,08-Nov-2024,2024,Team C,22.12,35.03,313.00,35.00,7.11,99.33,6.79,129.40,92.46,96.47,Pass,0,No,0,None,None
B000006,AED,Line 3,17-May-2024,2024,Team C,22.84,47.88,304.00,42.80,6.70,98.11,6.90,128.70,88.12,96.45,Pass,0,No,0,None,None
B000223,COX-2 Inhibitor,Line 3,13-Feb-2024,2024,Team C,22.22,41.94,370.00,48.90,6.99,99.00,6.72,116.90,92.13,92.28,Pass,0,No,0,None,None
B000382,AED,Line 3,24-Jan-2024,2024,Team D,21.70,35.69,298.00,44.70,8.07,99.03,6.78,125.80,87.34,96.44,Pass,0,No,0,None,None
B002392,COX-2 Inhibitor,Line 2,23-Dec-2024,2024,Team D,21.85,37.66,334.00,39.80,6.36,99.11,6.66,,90.53,92.29,Pass,0,No,0,None,None
B002124,Antidepressant,Line 2,27-Jun-2024,2024,Team A,22.43,54.96,320.00,36.70,7.07,99.07,6.77,92.10,89.84,96.43,Pass,0,No,0,None,None
B000217,Antidepressant,Line 2,17-Oct-2024,2024,Team A,22.36,34.74,327.00,42.50,6.92,99.21,6.77,133.10,87.96,96.42,Pass,0,No,0,None,None
B002329,COX-2 Inhibitor,Line 2,15-Sep-2025,2025,Team A,22.12,40.08,330.00,29.00,6.06,98.82,6.74,106.50,92.85,92.30,Failed,1,No,0,None,None
B002964,COX-2 Inhibitor,Line 1,20-Feb-2025,2025,Team D,21.82,40.42,358.00,47.30,7.18,98.81,6.57,120.40,90.95,92.33,Pass,0,No,0,None,None
B001505,AED,Line 1,11-Aug-2025,2025,Team A,21.93,53.40,268.00,46.80,7.41,98.60,7.21,115.00,86.64,96.41,Pass,0,No,0,None,None
B002514,Antidepressant,Line 1,16-Jul-2024,2024,Team B,20.02,33.04,307.00,40.60,7.08,98.92,6.49,131.00,91.44,96.40,Pass,0,No,0,None,None
B002683,Antidepressant,Line 1,16-Oct-2024,2024,Team B,21.80,40.96,327.00,42.00,6.99,99.20,6.84,127.30,90.29,96.40,Pass,0,No,0,None,None
B000236,AED,Line 1,15-May-2025,2025,Team A,21.00,48.30,314.00,43.60,7.99,99.23,6.94,147.90,91.66,96.39,Pass,0,No,0,None,None
B001841,Antidepressant,Line 3,17-Jun-2024,2024,Team C,22.36,38.31,325.00,41.70,7.14,98.80,6.86,124.50,85.98,96.39,Pass,0,No,0,None,None
B001930,GLP-1 Agonist,Line 1,22-Apr-2025,2025,Team A,21.78,35.77,313.00,45.80,7.30,98.86,6.60,140.10,88.78,96.39,Pass,0,No,0,None,None
B001832,AED,Line 1,28-Aug-2025,2025,Team D,21.71,46.26,340.00,49.00,7.34,99.13,6.93,134.70,85.36,96.37,Pass,0,No,0,None,None
B001917,COX-2 Inhibitor,Line 3,31-Jan-2025,2025,Team A,20.90,39.33,335.00,48.90,6.90,99.31,6.65,120.60,87.09,92.34,Pass,0,No,0,None,None
B002916,Antidepressant,Line 2,20-Apr-2025,2025,Team D,20.82,34.14,325.00,42.70,7.52,99.43,6.73,113.90,85.84,96.36,Pass,0,No,0,None,None
B001044,COX-2 Inhibitor,Line 3,11-Jul-2024,2024,Team B,22.36,46.46,327.00,40.50,7.00,98.93,6.58,114.20,87.71,92.37,Pass,0,Yes,1,Equipment,Major
B001461,COX-2 Inhibitor,Line 2,19-Apr-2024,2024,Team C,21.96,47.54,381.00,27.40,5.17,98.94,6.68,97.80,88.64,92.37,Pass,0,No,0,None,None
B002428,COX-2 Inhibitor,Line 3,07-Jun-2025,2025,Team C,23.83,42.38,346.00,32.60,7.35,99.25,6.69,118.80,85.55,92.38,Pass,0,No,0,None,None
B002818,COX-2 Inhibitor,Line 1,19-Nov-2024,2024,Team C,21.69,48.01,308.00,42.80,7.22,99.30,6.97,116.50,88.49,92.38,Pass,0,No,0,None,None
B002931,COX-2 Inhibitor,Line 3,21-Apr-2024,2024,Team B,21.59,44.05,320.00,41.80,7.30,99.12,6.71,125.90,84.85,92.38,Pass,0,Yes,1,Environmental,Minor
B001985,COX-2 Inhibitor,Line 1,18-Oct-2025,2025,Team D,22.62,39.87,332.00,42.20,7.09,99.56,6.76,131.60,82.92,92.40,Pass,0,No,0,None,None
B000492,COX-2 Inhibitor,Line 1,02-Mar-2025,2025,Team A,21.49,44.68,329.00,33.30,6.63,98.94,6.80,110.60,88.28,92.42,Pass,0,No,0,None,None
B000159,COX-2 Inhibitor,Line 3,19-Aug-2025,2025,Team A,22.19,39.76,330.00,29.20,7.32,99.18,6.86,115.60,91.42,92.46,Pass,0,No,0,None,None
B002709,Antidepressant,Line 1,12-Oct-2024,2024,Team A,23.19,34.15,318.00,41.80,7.43,98.70,6.69,141.70,87.95,96.30,Pass,0,No,0,None,None
B002162,Antidepressant,Line 3,02-Mar-2025,2025,Team D,21.82,52.06,348.00,41.50,7.38,98.79,7.02,125.20,88.70,96.29,Pass,0,No,0,None,None
B002531,COX-2 Inhibitor,Line 2,27-Jun-2025,2025,Team A,21.15,41.13,337.00,42.60,7.76,99.09,6.48,115.50,87.41,92.46,Pass,0,No,0,None,None
B000410,AED,Line 1,08-Nov-2024,2024,Team A,21.01,36.46,302.00,44.80,7.47,98.55,6.56,111.90,86.45,96.28,Pass,0,Yes,1,Environmental,Minor
B002859,COX-2 Inhibitor,Line 2,30-May-2025,2025,Team D,21.44,46.82,340.00,36.10,5.88,99.54,6.63,117.80,89.56,92.46,Pass,0,No,0,None,None
B000411,COX-2 Inhibitor,Line 2,16-Jul-2025,2025,Team D,22.69,43.00,321.00,28.50,6.54,99.07,6.86,100.60,92.47,92.47,Pass,0,No,0,None,None
B001331,COX-2 Inhibitor,Line 1,22-Oct-2024,2024,Team C,,45.62,308.00,34.00,6.74,98.65,6.72,108.10,87.25,92.47,Pass,0,No,0,None,None
B002571,Antidepressant,Line 1,09-Apr-2024,2024,Team A,21.54,47.57,296.00,43.70,8.12,98.93,6.70,136.60,86.01,96.25,Pass,0,No,0,None,None
B002083,COX-2 Inhibitor,Line 2,21-Feb-2025,2025,Team A,22.34,39.45,304.00,32.50,5.73,99.12,6.61,116.20,89.76,92.47,Pass,0,Yes,1,Equipment,Minor
B000755,COX-2 Inhibitor,Line 2,05-Feb-2024,2024,Team C,22.08,51.39,338.00,35.10,6.59,98.95,6.64,107.90,87.41,92.49,Pass,0,No,0,None,None
B000422,Antidepressant,Line 2,13-Nov-2024,2024,Team A,21.50,38.85,316.00,43.50,7.45,99.07,6.84,129.20,85.06,96.23,Pass,0,No,0,None,None
B001308,COX-2 Inhibitor,Line 2,09-Oct-2025,2025,Team C,22.23,37.28,364.00,25.70,6.80,98.94,6.52,120.70,91.78,92.51,Pass,0,Yes,1,Documentation,Minor
B002568,Antidepressant,Line 1,03-Jul-2024,2024,Team A,21.62,47.04,309.00,42.00,7.14,99.22,6.93,130.00,87.72,96.23,Pass,0,No,0,None,None
B002579,Antidepressant,Line 3,22-Sep-2025,2025,Team D,21.62,41.67,330.00,41.50,7.42,99.19,6.91,126.30,89.04,96.23,Pass,0,No,0,None,None
B001031,COX-2 Inhibitor,Line 2,04-Mar-2025,2025,Team A,22.17,35.19,340.00,48.30,7.44,99.06,6.67,138.80,86.74,92.54,Pass,0,No,0,None,None
B001449,COX-2 Inhibitor,Line 2,28-May-2024,2024,Team B,22.90,50.81,359.00,26.10,6.40,98.82,6.74,100.90,91.44,92.54,Pass,0,No,0,None,None
B001328,COX-2 Inhibitor,Line 3,11-Jun-2024,2024,Team D,22.13,32.52,331.00,40.00,6.73,99.35,6.53,130.60,88.85,92.55,Pass,0,No,0,None,None
B001810,Antidepressant,Line 2,12-Nov-2025,2025,Team B,22.45,50.32,303.00,44.00,5.45,98.99,7.16,127.20,84.52,96.20,Pass,0,No,0,None,None
B001556,COX-2 Inhibitor,Line 3,30-Jun-2025,2025,Team C,21.98,43.01,314.00,30.70,6.12,99.38,6.70,106.70,86.89,92.55,Pass,0,No,0,None,None
B001500,COX-2 Inhibitor,Line 3,08-Feb-2024,2024,Team C,22.21,47.14,321.00,47.30,7.68,99.42,6.74,124.00,81.04,92.64,Pass,0,Yes,1,Process,Minor
B001306,AED,Line 1,23-Feb-2025,2025,Team C,21.86,46.69,278.00,44.40,8.24,,7.15,129.90,89.61,96.19,Pass,0,No,0,None,None
B000228,COX-2 Inhibitor,Line 1,30-Oct-2024,2024,Team D,22.55,34.05,349.00,43.80,7.87,99.03,6.68,119.60,89.87,92.65,Pass,0,No,0,None,None
B000318,COX-2 Inhibitor,Line 1,14-Apr-2024,2024,Team A,,43.05,355.00,47.00,6.40,99.24,6.74,117.50,82.59,92.66,Pass,0,No,0,None,None
B000460,COX-2 Inhibitor,Line 3,21-Apr-2024,2024,Team B,24.93,39.17,327.00,46.40,7.04,99.57,6.67,132.90,86.64,92.69,Pass,0,No,0,None,None
B000728,Antidepressant,Line 1,31-Dec-2024,2024,Team A,22.08,44.71,305.00,40.90,7.88,99.53,6.69,111.60,86.40,96.17,Failed,1,No,0,None,None
B001544,Antidepressant,Line 2,24-Apr-2024,2024,Team C,22.63,49.93,378.00,44.50,6.80,98.83,6.88,113.80,89.61,96.17,Pass,0,No,0,None,None
B000848,COX-2 Inhibitor,Line 3,24-Feb-2025,2025,Team D,22.11,41.88,332.00,41.30,7.05,98.92,6.87,148.30,89.34,92.70,Pass,0,No,0,None,None
B000862,COX-2 Inhibitor,Line 1,04-Aug-2024,2024,Team B,23.71,37.30,315.00,22.60,5.77,99.55,6.55,92.40,90.83,92.70,Pass,0,No,0,None,None
B002658,COX-2 Inhibitor,Line 3,10-May-2024,2024,Team B,21.96,52.48,358.00,37.00,6.77,99.23,6.62,129.20,86.87,92.70,Pass,0,No,0,None,None
B000939,AED,Line 2,15-Oct-2024,2024,Team D,20.85,43.91,310.00,46.10,6.39,,6.89,132.90,86.45,96.16,Pass,0,Yes,1,Material,Minor
B000151,AED,Line 1,07-Nov-2025,2025,Team A,19.91,47.75,286.00,45.60,7.66,98.94,6.88,136.80,86.47,96.15,Pass,0,No,0,None,None
B000595,Antidepressant,Line 1,11-Oct-2025,2025,Team D,22.67,39.83,342.00,44.20,7.08,98.96,6.79,135.30,85.85,96.15,Pass,0,No,0,None,None
B001063,Antidepressant,Line 1,20-May-2025,2025,Team B,21.58,42.61,318.00,37.90,7.02,99.15,6.59,141.90,87.67,96.15,Pass,0,No,0,None,None
B002774,Antidepressant,Line 2,04-Feb-2024,2024,Team C,21.12,40.18,347.00,40.80,7.93,99.45,6.80,,90.37,96.15,Pass,0,No,0,None,None
B002922,Antidepressant,Line 1,27-Jun-2024,2024,Team B,20.91,39.21,337.00,40.70,7.58,99.61,6.77,121.00,85.29,96.15,Pass,0,No,0,None,None
B002755,AED,Line 1,05-Feb-2024,2024,Team D,22.22,46.40,357.00,45.50,7.12,,7.12,136.90,89.40,96.14,Pass,0,No,0,None,None
B000117,COX-2 Inhibitor,Line 1,28-Mar-2025,2025,Team A,23.25,41.31,371.00,28.20,6.61,99.49,6.74,112.00,91.02,92.71,Pass,0,No,0,None,None
B000140,Antidepressant,Line 2,14-Dec-2025,2025,Team A,21.48,37.15,311.00,39.70,6.53,99.37,6.72,99.10,91.33,96.13,Pass,0,No,0,None,None
B000267,GLP-1 Agonist,Line 1,01-Apr-2025,2025,Team B,22.99,44.66,319.00,48.40,7.19,98.41,6.96,138.50,84.01,96.13,Pass,0,No,0,None,None
B000822,COX-2 Inhibitor,Line 2,20-Dec-2025,2025,Team A,23.00,39.46,364.00,28.20,6.03,98.82,6.60,123.10,93.07,92.71,Pass,0,No,0,None,None
B002429,COX-2 Inhibitor,Line 3,09-Oct-2024,2024,Team C,21.81,44.26,348.00,41.50,6.99,99.33,6.81,154.10,84.43,92.72,Pass,0,No,0,None,None
B002062,Antidepressant,Line 1,14-Apr-2025,2025,Team A,23.80,44.29,349.00,41.70,6.89,99.29,6.75,125.20,84.77,96.13,Pass,0,No,0,None,None
B000920,COX-2 Inhibitor,Line 2,18-Nov-2025,2025,Team C,22.25,39.60,309.00,33.70,6.28,,6.60,120.10,88.80,92.75,Pass,0,No,0,None,None
B001088,COX-2 Inhibitor,Line 2,30-Nov-2024,2024,Team C,20.95,49.39,352.00,35.70,5.95,98.90,6.82,118.00,88.16,92.77,Pass,0,No,0,None,None
B002930,COX-2 Inhibitor,Line 1,26-Sep-2024,2024,Team D,22.71,45.79,370.00,39.50,6.79,99.66,6.95,114.30,87.87,92.78,Pass,0,No,0,None,None
B000012,AED,Line 3,21-Jun-2025,2025,Team B,22.41,38.59,289.00,46.60,8.06,99.39,6.95,128.30,87.71,96.11,Pass,0,No,0,None,None
B001677,COX-2 Inhibitor,Line 1,10-Mar-2024,2024,Team B,23.02,40.11,322.00,42.30,7.30,99.73,6.62,116.50,87.90,92.79,Pass,0,No,0,None,None
B000292,Antidepressant,Line 3,04-Jul-2024,2024,Team C,21.80,38.71,280.00,46.30,7.78,98.92,6.77,131.90,87.32,96.08,Pass,0,No,0,None,None
B001334,AED,Line 2,18-May-2025,2025,Team D,22.40,42.50,272.00,42.30,7.20,99.67,7.13,131.10,89.99,96.08,Pass,0,No,0,None,None
B002591,COX-2 Inhibitor,Line 2,02-Oct-2024,2024,Team C,21.86,41.97,315.00,43.20,7.59,99.51,6.84,122.20,87.82,92.79,Pass,0,No,0,None,None
